Binding,Binding Type,Function Type,Filename
Vision.Algorithms.PointChainGeometry.EllipseFitting,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luapointchaingeometry.cpp
Vision.Algorithms.PointChainConversion.PointChainToString,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luapointchainconversion.cpp
Vision.Algorithms.PointChainConversion.StringToPointChain,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luapointchainconversion.cpp
Vision.Algorithms.LocalBinaryPattern.LocalBinaryPattern,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\lualocalbinarypatterntexture.cpp
Vision.Algorithms.LocalBinaryPattern.LocalBinaryContrast,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\lualocalbinarypatterntexture.cpp
Vision.Algorithms.LocalBinaryPattern.ExtendedIntegralLocalBinaryPattern,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\lualocalbinarypatterntexture.cpp
Vision.Algorithms.LeastSquaresFitting.LeastSquaresFitting,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\lualeastsquaresfitting.cpp
Vision.Algorithms.IntensityProfiles.IntensityProfileFromImage,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luaintensityprofiles.cpp
Vision.Algorithms.IntegralImages.CalculateNewPitDepthImage,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luaextendedpitfinder.cpp
Vision.Algorithms.IntegralImages.CalculateNewPitDepthImageSSE,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luaextendedpitfinder.cpp
Vision.Algorithms.IntegralImages.CalculateNewHillHeightImage,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luaextendedpitfinder.cpp
Vision.Algorithms.IntegralImages.CalculateNewHillHeightImageSSE,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luaextendedpitfinder.cpp
Vision.Algorithms.IntegralImages.IntegralDeviationMap,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luaextendedpitfinder.cpp
Vision.Algorithms.IntegralImages.IntegralDeviationMapSSE,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luaextendedpitfinder.cpp
Vision.Algorithms.IntegralImages.IntegralDeviationDistanceRGB32,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luaextendedpitfinder.cpp
Vision.Algorithms.IntegralImages.IntegralDeviationDistanceRGB32SSE,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luaextendedpitfinder.cpp
Vision.Algorithms.IntegralImages.IntegralImageMasked,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luamaskedintegralimage.cpp
Vision.Algorithms.IntegralImages.IntegralImageMaskedRGB32,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luamaskedintegralimage.cpp
Vision.Algorithms.ImageObjectDetection.FitCircleOnBrightestSlices,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luaimageobjectdetection.cpp
Vision.Algorithms.ImageFilters.SobelMagnitude,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luaimagefilters.cpp
Vision.Algorithms.ImageFilters.SobelMagnitudeExact,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luaimagefilters.cpp
Vision.Algorithms.ImageFilters.Emboss2DAbs,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luaimagefilters.cpp
Vision.Algorithms.ImageFilters.Clahe,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luaimagefilters.cpp
Vision.Algorithms.GaussianFilters.GaussianFilter,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luagaussianfilters.cpp
Vision.Algorithms.GaussianFilters.GaussianDerivative,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luagaussianfilters.cpp
Vision.Algorithms.GaussianFilters.GaussianSecondDerivative,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luagaussianfilters.cpp
Vision.Algorithms.GaussianFilters.GaussianFIRFilter,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luagaussianfilters.cpp
Vision.Algorithms.GaussianFilters.GaussianFIRDerivative,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luagaussianfilters.cpp
Vision.Algorithms.GaussianFilters.GaussianFIRSecondDerivative,Namespaces,Static,d:\development\truesort.1420\libraries\efc3lib\vision\wrappers\lua\algorithms\luagaussianfilters.cpp
Unit.GetWeightUnitTable,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luaunit.cpp
Unit.WeightType2String,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luaunit.cpp
Unit.WeightString2Type,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luaunit.cpp
Unit.WeightToGrams,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luaunit.cpp
Unit.GramsToWeight,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luaunit.cpp
Unit.NumberOfDecimals,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luaunit.cpp
Unit.GetUnit,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luaunit.cpp
Unit.FromMetric,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luaunit.cpp
Unit.ToMetric,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luaunit.cpp
TrueSortAlgorithms.Algorithms.SymmetricalRelationMap.ExtractMaximalClique,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luasymmetricalrelationmapalgorithms.cpp
TrueSortAlgorithms.Algorithms.SymmetricalRelationMap.CalculateClusters,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luasymmetricalrelationmapalgorithms.cpp
TrueSortAlgorithms.Algorithms.SpectralSignatures.DetectMaterialFromSpectrum,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luadetectmaterialfromspectrum.cpp
TrueSortAlgorithms.Algorithms.SpectralSignatures.FitCalibrationBallSpectrum,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luafitcalibrationballspectrum.cpp
TrueSortAlgorithms.Algorithms.SpectralReference.ConvertSlideReferenceIntoTheoreticBallReference,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralreferenceoperations.cpp
TrueSortAlgorithms.Algorithms.SpectralReference.ConvertBallReferenceIntoTheoreticSlideReference,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralreferenceoperations.cpp
TrueSortAlgorithms.Algorithms.SpectralReference.CalculateEffectiveReference,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralreferenceoperations.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.Resample,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.Crop,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.Average,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.FilterSimpleAverage,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.FilterSimpleDerivative,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.Filter,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.FilterExtended,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.FilterSGolay,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.FilterSGolayDeriv1,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.FilterSGolayDeriv2,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.FilterSGolayDeriv3,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.FilterLowPassExtended,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.DotProduct,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.GetExtrema,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.GetMaxValue,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.ScaleIntensity,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.OffsetIntensity,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.Add,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.Subtract,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.Multiply,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.Divide,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.ConvertToAbsorbance,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.ConvertToLog10,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.FlatField,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.FindZeroCrossings,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.DetectOverExposure,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.SpectralMeasurement.GetDCBlackLevel,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luaspectralmeasurement.cpp
TrueSortAlgorithms.Algorithms.Pear.FindStem,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luapear.cpp
TrueSortAlgorithms.Algorithms.Cucumber.ProcessLaserLines,Namespaces,Static,d:\development\truesort.1420\libraries\truesortalgorithmslib\wrappers\lua\algorithms\luacucumber.cpp
TrueSort.ASyncSaveCvrFile,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesort.cpp
TrueSort.SaveCvrFile,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesort.cpp
TrueSort.LoadCvrFile,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesort.cpp
TrueSort.LoadSpectrometerGraphReplyMessage,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesort.cpp
TrueSort.SaveCurrentGradingProgram,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesort.cpp
TrueSort.GetSortVariety,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesort.cpp
TrueSort.GetActiveMethods,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesort.cpp
TrueSort.GetGradingResults,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesort.cpp
TrueSort.RegisterNewResultsCallback,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesort.cpp
TrueSort.GetMeasureMethod,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesort.cpp
TrueSort.SetMeasureMethodDisplayName,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesort.cpp
TrueSort.SetMeasureMethodUnit,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesort.cpp
TrueSort.RegisterRestoreCVRCallback,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesort.cpp
TrueSort.GetStrippedCVR,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesort.cpp
TrueSort.PrintFileContent,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesortfiles.cpp
TrueSort.FileContentToTable,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruesortfiles.cpp
TrueCommon.GetBuildInfo,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luatruecommon.cpp
SystemConfiguration.GetRotationFactor,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luasystemconfiguration.cpp
SystemConfiguration.GetScanAreas,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luasystemconfiguration.cpp
SystemConfiguration.GetSpectrometerUnits,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luasystemconfiguration.cpp
SystemConfiguration.GetLicenses,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luasystemconfiguration.cpp
SystemConfiguration.GetLaneCount,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luasystemconfiguration.cpp
SystemConfiguration.GetUnitsSystem,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luasystemconfiguration.cpp
SizeAlgorithms.DetectDoubles,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luasizealgorithms.cpp
SizeAlgorithms.FindCalyx,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luasizealgorithms.cpp
Language.SetCurrentLanguage,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\lualanguage.cpp
Language.GetCurrentLanguage,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\lualanguage.cpp
Language.LoadForFile,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\lualanguage.cpp
Language.LoadForCurrentFile,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\lualanguage.cpp
Language.LoadLanguageFile,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\lualanguage.cpp
Json.Format,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\json\luajsonformat.cpp
Json.JsonStringToTable,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\json\luajsontotable.cpp
Json.TableToJsonString,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\json\luatabletojson.cpp
ImageblocksAutomation.Simulation.RecalculateNow,Namespaces,Static,d:\development\truesort.1420\libraries\luabindings\luaimageblocksautomation.cpp
ImageRegion.AverageIntensity,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\image\regionimageoperationsluabindings.cpp
ImageRegion.AverageColor,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\image\regionimageoperationsluabindings.cpp
ImageRegion.IntensityAttributes,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\image\regionimageoperationsluabindings.cpp
ImageRegion.SplitHSV,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\image\regionimageoperationsluabindings.cpp
ImageRegion.ToS8V8,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\image\regionimageoperationsluabindings.cpp
ImageRegion.HalfSize,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\image\regionimageoperationsluabindings.cpp
ImageRegion.DownSampleSNN,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\image\regionimageoperationsluabindings.cpp
ImageRegion.DownSampleMedian,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\image\regionimageoperationsluabindings.cpp
ImageRegion.FillSameColorsY8,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\image\regionimageoperationsluabindings.cpp
ImageRegion.HSVPlanesHistogram,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\spectrum\guispectrumhelperluabindings.cpp
ImageRegion.NormalizeInt32ToY8,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\spectrum\guispectrumhelperluabindings.cpp
ImageRegion.ScaleImage,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\spectrum\guispectrumhelperluabindings.cpp
ImageRegion.ConditionalFloodFill,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\spectrum\guispectrumhelperluabindings.cpp
ImageRegion.FillSameColors,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\spectrum\guispectrumhelperluabindings.cpp
ImageRegion.FlipRegionVertical,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\spectrum\guispectrumhelperluabindings.cpp
ImageRegion.GuiRGBToHSV,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\spectrum\guispectrumhelperluabindings.cpp
ImageRegion.GuiHSVtoRGB,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\spectrum\guispectrumhelperluabindings.cpp
ImageRegion.GuiHVRainbow,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\spectrum\guispectrumhelperluabindings.cpp
ImageRegion.GuiHSRainbow,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\spectrum\guispectrumhelperluabindings.cpp
ImageRegion.GuiHSVRainbow,Namespaces,Static,d:\development\truesort.1420\imageblocks\blocks\common\spectrum\guispectrumhelperluabindings.cpp
